EpisodeID,StartDate,EndDate,CalendarTradingSpan,HighStressHits,PeakStressDate,PeakGeometryStress,PeakStressPercentile,PeakTransitionDate,PeakTransitionScore,PeakTransitionPercentile,MinSigmaMin,MaxConditionNumber,MaxRotationDeg
1,2007-07-24,2007-08-03,9,9,2007-07-31,1.629831099,100,2007-07-25,2.140057555,98.02631579,0.0812503518,23.52024113,28.52072523
2,2007-08-15,2007-08-23,7,5,2007-08-16,1.676971167,100,2007-08-16,0.768933359,88.0952381,0.1042254626,18.78481514,30.24239741
3,2008-08-08,2008-08-11,2,2,2008-08-11,1.400256677,98.01587302,2008-08-11,1.019048009,96.82539683,0.1268168456,13.94674741,28.51235879
4,2008-11-28,2008-12-09,8,7,2008-12-02,1.668929358,100,2008-11-28,1.361130135,99.6031746,0.1095785069,41.42063556,17.63223669
5,2009-04-15,2009-05-08,18,12,2009-04-22,2.62802322,100,2009-04-16,1.727267823,99.6031746,0.0454664308,53.68194701,33.04130033
6,2009-08-31,2009-09-01,2,2,2009-08-31,2.566186453,99.20634921,2009-08-31,2.877528615,100,0.1372881542,20.49088695,44.51916657
7,2010-06-25,2010-07-06,7,7,2010-06-29,2.265026285,99.6031746,2010-06-29,1.611197712,99.20634921,0.09665769984,26.85606743,20.87489782
8,2010-08-02,2010-08-04,3,3,2010-08-03,2.044798128,99.20634921,2010-08-03,1.541941697,98.41269841,0.1016195917,31.03754818,18.61748616
9,2010-09-30,2010-10-04,3,3,2010-10-01,5.722959478,100,2010-10-01,5.139332543,100,0.03432569651,101.0772954,61.06051019
10,2010-10-15,2010-10-18,2,2,2010-10-15,2.088002274,98.41269841,2010-10-18,0.7694098265,89.28571429,0.06373256265,56.12771674,18.60458781
11,2011-03-25,2011-03-28,2,2,2011-03-25,2.319730564,98.41269841,2011-03-25,1.760061844,97.61904762,0.08312934361,75.92653136,30.84278576
12,2011-04-25,2011-05-03,7,5,2011-05-03,2.141914706,97.61904762,2011-04-25,1.610020056,95.63492063,0.0340442917,125.2297259,32.73584286
13,2011-10-20,2011-10-21,2,2,2011-10-21,2.70964578,100,2011-10-21,1.555582644,97.22222222,0.06566492151,59.06490564,51.51263877
14,2012-03-15,2012-03-16,2,2,2012-03-15,1.899755127,97.61904762,2012-03-15,1.705111144,99.6031746,0.04230061328,39.32192569,40.2102749
15,2012-12-17,2012-12-18,2,2,2012-12-18,0.153224224,97.22222222,2012-12-17,0.2581433779,74.6031746,0.2677919925,8.348781857,9.313827877
16,2013-01-03,2013-01-16,10,9,2013-01-15,2.061311759,100,2013-01-15,1.89987262,100,0.174272268,13.48708057,33.69288424
17,2013-02-21,2013-03-28,26,24,2013-03-26,2.182842575,100,2013-03-26,1.332891994,99.20634921,0.1166151082,45.22067473,16.39353493
18,2013-04-11,2013-04-22,8,8,2013-04-15,2.150765761,99.6031746,2013-04-15,1.116858346,98.41269841,0.07214297879,87.16147533,18.68403376
19,2013-04-26,2013-05-01,4,3,2013-04-29,2.137931723,98.80952381,2013-04-29,0.934969944,95.23809524,0.08365705383,71.5216426,15.11536106
20,2013-07-01,2013-07-02,2,2,2013-07-01,2.366226189,100,2013-07-01,0.7946393956,92.46031746,0.1348853532,16.31065431,33.8131954
21,2014-11-07,2014-11-14,6,6,2014-11-12,2.420729707,100,2014-11-12,1.852654741,100,0.08893052681,21.75110563,29.71802245
22,2015-03-12,2015-03-17,4,4,2015-03-12,2.396275702,99.6031746,2015-03-12,2.492090173,100,0.1634361255,21.18417947,24.49691582
23,2015-03-31,2015-04-06,4,2,2015-04-06,1.272483517,98.01587302,2015-04-06,0.3545259366,81.34920635,0.1223465313,30.2091516,7.792946452
