StressPercentileThreshold,HorizonDays,Observations,MeanForwardReturn,MedianForwardReturn,MeanForwardWorstReturn,MedianForwardWorstReturn,PctForwardReturnsNegative,PctWorstReturnBelowMinus5Pct,PctWorstReturnBelowMinus10Pct
80,5,1155,0.00322789927,0.004326791825,-0.008823579618,-0.004695661203,0.374025974,0.0329004329,0.005194805195
80,10,1155,0.00670091173,0.009288925646,-0.01466907296,-0.008162638684,0.3220779221,0.08051948052,0.01212121212
80,20,1153,0.01255129685,0.01782187899,-0.02276064615,-0.01267663858,0.3113616652,0.154978355,0.03376623377
80,40,1152,0.02103796934,0.02661665192,-0.03499789335,-0.02134878637,0.2881944444,0.2614718615,0.07965367965
90,5,656,0.003539781983,0.004492021483,-0.008784477978,-0.00511232367,0.3567073171,0.03353658537,0.00762195122
90,10,656,0.008483051226,0.01051682802,-0.01383097256,-0.007794937269,0.2957317073,0.07012195122,0.009146341463
90,20,656,0.01579849551,0.01963891607,-0.02085932627,-0.01108151285,0.2804878049,0.137195122,0.0243902439
90,40,656,0.0225625871,0.02774675408,-0.03359610909,-0.01915171742,0.2850609756,0.243902439,0.07164634146
95,5,326,0.006731277956,0.006481883919,-0.00721289755,-0.002991857856,0.3128834356,0.0245398773,0.01226993865
95,10,326,0.01514656458,0.013239331,-0.0103315722,-0.005857730068,0.236196319,0.03680981595,0.01226993865
95,20,326,0.02409833651,0.02538821543,-0.0159302775,-0.008176419614,0.2484662577,0.07668711656,0.01840490798
95,40,326,0.02899964354,0.02915377755,-0.02748395123,-0.01357317258,0.263803681,0.1779141104,0.04294478528
97.5,5,198,0.006769227048,0.006287368567,-0.008215761489,-0.003370580954,0.3131313131,0.03535353535,0.01515151515
97.5,10,198,0.01620039558,0.01393585995,-0.01127023692,-0.006122665999,0.2373737374,0.04545454545,0.01515151515
97.5,20,198,0.02669572524,0.02707450159,-0.01772044615,-0.008176419614,0.2525252525,0.09090909091,0.02525252525
97.5,40,198,0.03238798465,0.02780198252,-0.02906403271,-0.01894459865,0.2828282828,0.196969697,0.03535353535
99,5,87,0.007534519329,0.006177596876,-0.009338482037,-0.006132243663,0.3563218391,0.03448275862,0.01149425287
99,10,87,0.02092165328,0.01587803971,-0.01227067269,-0.00659472754,0.2068965517,0.04597701149,0.01149425287
99,20,87,0.03262691528,0.02546394873,-0.01685713781,-0.00811140561,0.2528735632,0.09195402299,0.02298850575
99,40,87,0.03367301609,0.02232628552,-0.0310867427,-0.02556830028,0.3333333333,0.2528735632,0.03448275862
