Spec,Window,Ridge,Cluster,HorizonDays,Events,MeanForwardReturn,MeanWorstReturn,PctNegativeForwardReturn,PctWorstBelowMinus5Pct
W63_R0.0001,63,0.0001,1,5,4,0.009258680391,-0.007431663067,0.5,0
W63_R0.0001,63,0.0001,1,10,4,-0.005119161649,-0.01759509356,0.5,0.25
W63_R0.0001,63,0.0001,1,20,4,0.01104210293,-0.02928942277,0.5,0.25
W63_R0.0001,63,0.0001,1,40,4,0.02739487814,-0.02928942277,0,0.25
W63_R0.0001,63,0.0001,2,5,10,-0.001203806128,-0.01288080033,0.3,0.1
W63_R0.0001,63,0.0001,2,10,10,0.007606818984,-0.01375464428,0.3,0.1
W63_R0.0001,63,0.0001,2,20,10,0.01392177714,-0.01891094308,0.3,0.1
W63_R0.0001,63,0.0001,2,40,10,-0.004917418259,-0.05376188643,0.4,0.3
W63_R0.0001,63,0.0001,3,5,4,-0.002125309676,-0.01681828104,0.75,0
W63_R0.0001,63,0.0001,3,10,4,-0.009094308946,-0.02446636023,0.5,0.25
W63_R0.0001,63,0.0001,3,20,4,-0.02665810255,-0.04821600207,0.75,0.5
W63_R0.0001,63,0.0001,3,40,4,-0.07142878993,-0.1197188327,0.75,0.75
W63_R0.0001,63,0.0001,4,5,1,-0.04432364628,-0.04526913009,1,0
W63_R0.0001,63,0.0001,4,10,1,-0.06447124128,-0.06571501883,1,1
W63_R0.0001,63,0.0001,4,20,1,-0.0540241935,-0.07646018037,1,1
W63_R0.0001,63,0.0001,4,40,1,-0.01004890246,-0.09033909637,1,1
W63_R0.0001,63,0.0001,5,5,3,0.0233720115,0.004295828239,0,0
W63_R0.0001,63,0.0001,5,10,3,0.03479557877,0.004295828239,0,0
W63_R0.0001,63,0.0001,5,20,3,0.03883449174,-0.006979942608,0.3333333333,0
W63_R0.0001,63,0.0001,5,40,3,0.06392623103,-0.0237034953,0.3333333333,0.3333333333
W63_R0.001,63,0.001,1,5,4,0.009258680391,-0.007431663067,0.5,0
W63_R0.001,63,0.001,1,10,4,-0.005119161649,-0.01759509356,0.5,0.25
W63_R0.001,63,0.001,1,20,4,0.01104210293,-0.02928942277,0.5,0.25
W63_R0.001,63,0.001,1,40,4,0.02739487814,-0.02928942277,0,0.25
W63_R0.001,63,0.001,2,5,10,-0.001203806128,-0.01288080033,0.3,0.1
W63_R0.001,63,0.001,2,10,10,0.007606818984,-0.01375464428,0.3,0.1
W63_R0.001,63,0.001,2,20,10,0.01392177714,-0.01891094308,0.3,0.1
W63_R0.001,63,0.001,2,40,10,-0.004917418259,-0.05376188643,0.4,0.3
W63_R0.001,63,0.001,3,5,4,-0.002125309676,-0.01681828104,0.75,0
W63_R0.001,63,0.001,3,10,4,-0.009094308946,-0.02446636023,0.5,0.25
W63_R0.001,63,0.001,3,20,4,-0.02665810255,-0.04821600207,0.75,0.5
W63_R0.001,63,0.001,3,40,4,-0.07142878993,-0.1197188327,0.75,0.75
W63_R0.001,63,0.001,4,5,1,-0.04432364628,-0.04526913009,1,0
W63_R0.001,63,0.001,4,10,1,-0.06447124128,-0.06571501883,1,1
