Spec,Window,Ridge,Cluster,Events,TopDriver1,TopDriver1Contribution,TopDriver2,TopDriver2Contribution,TopDriver3,TopDriver3Contribution
W63_R0.0001,63,0.0001,1,4,RSP_SPY_Ratio,0.4609497176,WTI,0.2733064061,Treasury10Y,0.09786294018
W63_R0.0001,63,0.0001,2,10,Curve10Y2Y,0.2664712361,Treasury10Y,0.1678690983,SPY_Volume_Z20,0.1530237272
W63_R0.0001,63,0.0001,3,4,VIX,0.4202512838,WTI,0.1226426279,RSP_SPY_Ratio,0.1122315321
W63_R0.0001,63,0.0001,4,1,BroadUSD,0.7781157955,Curve10Y2Y,0.07768021184,CreditSpread_BAA10Y,0.06159806231
W63_R0.0001,63,0.0001,5,3,CreditSpread_BAA10Y,0.4453326562,Treasury10Y,0.1991492377,Curve10Y2Y,0.08789553352
W63_R0.001,63,0.001,1,4,RSP_SPY_Ratio,0.4609032263,WTI,0.2731981655,Treasury10Y,0.09793515804
W63_R0.001,63,0.001,2,10,Curve10Y2Y,0.2664607024,Treasury10Y,0.1678886239,SPY_Volume_Z20,0.1530334035
W63_R0.001,63,0.001,3,4,VIX,0.4202107056,WTI,0.1226305811,RSP_SPY_Ratio,0.1122039174
W63_R0.001,63,0.001,4,1,BroadUSD,0.7781170644,Curve10Y2Y,0.07768924728,CreditSpread_BAA10Y,0.06160870499
W63_R0.001,63,0.001,5,3,CreditSpread_BAA10Y,0.4453431776,Treasury10Y,0.1991869614,Curve10Y2Y,0.08788081335
W63_R0.01,63,0.01,1,4,RSP_SPY_Ratio,0.460418336,WTI,0.2721214712,Treasury10Y,0.09865990974
W63_R0.01,63,0.01,2,10,Curve10Y2Y,0.2663572284,Treasury10Y,0.168081756,SPY_Volume_Z20,0.1531297995
W63_R0.01,63,0.01,3,4,VIX,0.4198046166,WTI,0.1225110081,RSP_SPY_Ratio,0.1119294492
W63_R0.01,63,0.01,4,1,BroadUSD,0.7781291098,Curve10Y2Y,0.07777977626,CreditSpread_BAA10Y,0.06171433697
W63_R0.01,63,0.01,5,3,CreditSpread_BAA10Y,0.4454452931,Treasury10Y,0.1995624655,Curve10Y2Y,0.08773702612
W126_R0.0001,126,0.0001,1,3,SPY_Volume_Z20,0.5246224313,VIX,0.226915684,BroadUSD,0.05489792171
W126_R0.0001,126,0.0001,2,6,RSP_SPY_Ratio,0.528452477,Curve10Y2Y,0.152326849,Treasury10Y,0.09242544352
W126_R0.0001,126,0.0001,3,4,WTI,0.4065322659,VIX,0.1701516485,Curve10Y2Y,0.1378962988
W126_R0.0001,126,0.0001,4,1,Treasury10Y,0.5366281649,CreditSpread_BAA10Y,0.1378104089,BroadUSD,0.1188781367
W126_R0.001,126,0.001,1,3,SPY_Volume_Z20,0.5246242385,VIX,0.2267298196,BroadUSD,0.05494762282
W126_R0.001,126,0.001,2,6,RSP_SPY_Ratio,0.5284435441,Curve10Y2Y,0.1523650748,Treasury10Y,0.09240223312
W126_R0.001,126,0.001,3,4,WTI,0.4065414831,VIX,0.1701483823,Curve10Y2Y,0.1378912917
W126_R0.001,126,0.001,4,1,Treasury10Y,0.5366313494,CreditSpread_BAA10Y,0.1378120921,BroadUSD,0.1188767869
W126_R0.01,126,0.01,1,3,SPY_Volume_Z20,0.5246407549,VIX,0.2248374374,BroadUSD,0.05544644319
W126_R0.01,126,0.01,2,6,RSP_SPY_Ratio,0.528352626,Curve10Y2Y,0.1527444589,Treasury10Y,0.09217314292
W126_R0.01,126,0.01,3,4,WTI,0.4066333239,VIX,0.1701155432,Curve10Y2Y,0.1378412775
W126_R0.01,126,0.01,4,1,Treasury10Y,0.5366632182,CreditSpread_BAA10Y,0.1378288234,BroadUSD,0.1188632515
W252_R0.0001,252,0.0001,1,5,WTI,0.2775839884,BroadUSD,0.2200209406,VIX,0.1897846447
W252_R0.0001,252,0.0001,2,4,RSP_SPY_Ratio,0.5095568133,CreditSpread_BAA10Y,0.1457028823,SPY_Volume_Z20,0.1370165554
W252_R0.0001,252,0.0001,3,3,Treasury10Y,0.3936197284,SPY_Volume_Z20,0.1490929863,CreditSpread_BAA10Y,0.1412388998
W252_R0.0001,252,0.0001,4,3,Curve10Y2Y,0.5339535382,SPY_Volume_Z20,0.1288002146,BroadUSD,0.07621763568
