ApproxDate,SpecificationsDetectingNearbyPrecursor,TotalSpecifications,RecurrenceFraction
2008-08-29,3,9,0.3333333333
2009-04-02,3,9,0.3333333333
2009-06-08,3,9,0.3333333333
2009-07-17,3,9,0.3333333333
2009-08-14,3,9,0.3333333333
2009-11-30,3,9,0.3333333333
2010-01-08,3,9,0.3333333333
2010-09-07,3,9,0.3333333333
2011-04-26,3,9,0.3333333333
2011-07-01,3,9,0.3333333333
2011-11-08,3,9,0.3333333333
2012-09-21,3,9,0.3333333333
2013-04-05,3,9,0.3333333333
2013-06-13,3,9,0.3333333333
2013-09-04,3,9,0.3333333333
2013-09-13,3,9,0.3333333333
2013-11-14,6,9,0.6666666667
2014-12-19,3,9,0.3333333333
2015-01-05,3,9,0.3333333333
2015-03-16,3,9,0.3333333333
2016-01-04,3,9,0.3333333333
2016-05-23,3,9,0.3333333333
2016-05-31,3,9,0.3333333333
2016-12-02,3,9,0.3333333333
2017-02-08,3,9,0.3333333333
2017-03-14,3,9,0.3333333333
2017-04-03,3,9,0.3333333333
2017-06-14,6,9,0.6666666667
2017-06-16,6,9,0.6666666667
2017-11-29,3,9,0.3333333333
2018-02-02,3,9,0.3333333333
2018-09-12,3,9,0.3333333333
2019-07-01,3,9,0.3333333333
2019-09-13,3,9,0.3333333333
2019-09-30,3,9,0.3333333333
2019-12-05,3,9,0.3333333333
2020-01-15,6,9,0.6666666667
2020-01-17,6,9,0.6666666667
2020-05-28,3,9,0.3333333333
2020-08-20,3,9,0.3333333333
2021-10-20,3,9,0.3333333333
2021-10-26,3,9,0.3333333333
2023-02-02,3,9,0.3333333333
2023-03-17,3,9,0.3333333333
2023-04-06,3,9,0.3333333333
2023-06-02,3,9,0.3333333333
2023-07-28,3,9,0.3333333333
2023-08-10,3,9,0.3333333333
2023-12-28,3,9,0.3333333333
2026-04-08,3,9,0.3333333333
2026-06-02,3,9,0.3333333333
